# locator.tsv — Saul's fast resolver. Generated by build_index.py on 2026-06-06.
# Look up ONE line: awk -F'\t' '$1=="OR"' register/locator.tsv  (portable exact match; BSD grep
# has no -P). Never Read the whole file. Columns are TAB-separated.
# seed=1 -> file ships in this repo (offline). ranges = article-number BASES present as headings
# (e.g. base 269 covers 269a..). A base absent from ranges = not in this copy: say so and stop
# without reading (no claim/quote made). A base present still needs the file opened to confirm the
# exact article and quote it (Law 2) — every quote comes from a read; not every absence does.
abbrev	sr	file	rank	Stand	status	seed	arts	max	ranges
AAMV	941.210.4	cc-2015-88.md	verordnung	2016-10-01	in_force	0	19	19	1-19
AB-EBV	742.141.11	cc-2024-240.md	verordnung	2024-07-01	in_force	0	0	0	-
AB-SBV	747.201.71	cc-2024-174.md	andere	2026-02-02	in_force	0	0	0	-
AB-VASm	747.201.31	cc-2017-548.md	andere	2022-07-29	in_force	0	20	20	1-20
ABV-FINMA	952.111	cc-1997-62_62_62.md	verordnung	2015-01-01	in_force	0	19	19	1-19
ADN	0.747.208	cc-2011-153.md	andere	2025-01-01	in_force	0	20	20	1-20
ADR	0.741.621	cc-1972-1073_1085_1249.md	andere	2025-03-20	in_force	0	17	17	1-17
ADS	0.935.222.49	cc-2004-629.md	andere	2004-06-15	in_force	0	9	9	1-9
AEFV	784.104	cc-1997-2879_2879_2879.md	verordnung	2023-09-01	in_force	0	59	57	1-13,15-26,28,30,33-44,46,48,50-52,57
AETR	0.822.725.22	cc-2003-268.md	andere	2022-04-23	in_force	0	1	1	1
AEV	916.01	cc-2011-770.md	verordnung	2026-05-01	in_force	0	39	55	1-2,5-6,8,10-15,17-21,23,25,27-35,37-41,43,46,49,51-53,55
AFZFG	211.223.13	cc-2017-145.md	bundesgesetz	2025-02-01	in_force	0	22	22	1-22
AFZFV	211.223.131	cc-2017-146.md	verordnung	2021-01-01	in_force	0	13	13	1-13
AGN	0.747.207	cc-2007-938.md	andere	2025-11-29	in_force	0	18	18	1-18
AGR	0.725.11	cc-1988-1834_1834_1834.md	andere	2024-12-03	in_force	0	17	17	1-17
AGTC	0.740.81	cc-1993-2838_2838_2838.md	andere	2025-12-11	in_force	0	21	21	1-21
AHVG	831.10	cc-63-837_843_843.md	bundesgesetz	2026-01-01	in_force	0	10	43	1,3,5,9,12,14-15,24,29,43
AHVV	831.101	cc-63-1185_1183_1185.md	verordnung	2026-01-01	in_force	0	51	132	1,3,5-7,20,32,40,67-68,74,77,83,86-91,93,95-96,101-106,109-110,114-121,126,129,132
AIAG	653.1	cc-2016-259.md	bundesgesetz	2026-01-01	in_force	0	2	2	1-2
AIAV	653.11	cc-2016-786.md	verordnung	2026-01-01	in_force	0	35	36	2-36
AIG	142.20	cc-2007-758.md	bundesgesetz	2027-01-01	in_force	0	61	76	1-6,9-42,45-52,58,60-61,63,68-71,73-76
ALBAG	654.1	cc-2017-645.md	bundesgesetz	2022-01-01	in_force	0	32	32	1-32
ALBAV	654.11	cc-2017-646.md	verordnung	2024-11-01	in_force	0	9	10	1,3-10
ALV-IsV	837.063.1	cc-2021-337.md	verordnung	2026-01-01	in_force	0	27	27	1-27
AMBV	812.212.1	cc-2018-786.md	verordnung	2025-03-15	in_force	0	2	2	1-2
AMZV	812.212.22	cc-2001-517.md	verordnung	2026-02-01	in_force	0	21	24	1-9,11,17-24
AO	513.1	cc-2017-217.md	verordnung	2023-01-01	in_force	0	8	8	1-8
AO EPÜ 2000	0.232.142.21	cc-2007-850.md	andere	2024-04-01	in_force	0	0	0	-
AOV	956.134	cc-2019-765.md	verordnung	2020-01-01	in_force	0	17	17	1-17
ARPV	745.16	cc-2024-609.md	verordnung	2025-11-01	in_force	0	64	69	1-3,5-11,15-18,20-69
ARV 1	822.221	cc-1995-4031_4031_4031.md	verordnung	2026-07-01	in_force	0	2	2	1-2
ARV 2	822.222	cc-1981-480_480_480.md	verordnung	2025-03-01	in_force	0	1	2	2
ASG	195.1	cc-2015-653.md	bundesgesetz	2018-01-01	in_force	0	69	69	1-69
ASV	831.403.2	cc-2011-459.md	verordnung	2024-07-01	in_force	0	45	45	1-45
ASV-RAB	221.302.33	cc-2008-188.md	verordnung	2025-12-15	in_force	0	14	17	1-4,6-9,12-17
AStG	641.51	cc-1996-3045_3045_3045.md	bundesgesetz	2023-07-01	in_force	0	40	42	1-33,35-39,41-42
AStV	641.511	cc-1996-3058_3058_3058.md	andere	2024-01-01	in_force	0	9	9	1-9
ATSG	830.1	cc-2002-510.md	bundesgesetz	2024-01-01	in_force	0	80	84	1-3,5-6,8-40,42-61,63-84
ATSV	830.11	cc-2002-569.md	verordnung	2024-01-01	in_force	0	25	19	1-4,7,10-19
AVEG	221.215.311	cc-1956-1543_1645_1658.md	bundesgesetz	2026-06-01	in_force	0	19	21	1-5,7-18,20-21
AVFV	837.141	cc-2003-715.md	verordnung	2008-01-01	in_force	0	13	14	1-12,14
AVG	823.11	cc-1991-392_392_392.md	bundesgesetz	2026-01-01	in_force	0	36	44	1-9,11-19,22,24-33,36,38-42,44
AVIG	837.0	cc-1982-2184_2184_2184.md	bundesgesetz	2026-01-01	in_force	0	9	14	1-2,5,8-11,13-14
AVIV	837.02	cc-1983-1205_1205_1205.md	verordnung	2026-01-01	in_force	0	58	119	1-5,7-8,10-14,29,34-35,37,39,47-49,51-56,59-61,64-68,70-71,73,76-80,83,86,90,92-93,95,100,103-105,112-113,116-119
AVO	961.011	cc-2005-735.md	verordnung	2026-02-26	in_force	0	156	218	1,3-11,14,16-21,27-32,37-38,40,42,44-45,50,53-54,57,59,70,72-74,76,78-79,82-111,117-153,155-174,176-194,196,203,205,216-218
AVO-FINMA	961.011.1	cc-2024-377.md	verordnung	2024-09-01	in_force	0	99	99	1-99
AVV	823.111	cc-1991-408_408_408.md	verordnung	2024-08-01	in_force	0	56	64	1-8,10-29,31-32,34-54,56,59-60,62,64
AWV	812.212.5	cc-2001-519.md	verordnung	2020-01-01	in_force	0	19	25	2,4-5,7-13,15-16,18,20-25
AZG	822.21	cc-1972-604_612_536.md	bundesgesetz	2018-12-09	in_force	0	22	29	1-12,15,20-25,27-29
AZGV	822.211	cc-2018-532.md	verordnung	2019-03-12	in_force	0	26	26	1-26
AdoV	211.221.36	cc-2011-505.md	verordnung	2023-01-23	in_force	0	29	29	1-29
AkkBV	946.512	cc-1996-1904_1904_1904.md	verordnung	2025-01-01	in_force	0	34	43	1-4,6-8,10-19,21-25,28,31-38,41-43
AkkredV-PsyG	935.811.1	cc-2013-768.md	verordnung	2020-12-15	in_force	0	7	7	1-7
AlgV	451.34	cc-2001-328.md	verordnung	2025-12-01	in_force	0	17	17	1-17
AlkBestV	941.210.2	cc-2010-664.md	verordnung	2018-01-01	in_force	0	15	16	1-3,5-16
AlkG	680	cc-48-425_437_457.md	bundesgesetz	2024-06-01	in_force	0	4	4	1-4
AlkV	680.11	cc-2017-568.md	andere	2022-01-01	in_force	0	75	76	1-74,76
AllergV	812.216.2	cc-2010-61.md	verordnung	2019-01-01	in_force	0	16	16	1-16
AllgGebV	172.041.1	cc-2004-677.md	andere	2022-01-01	in_force	0	18	41	1-17,41
AltlV	814.680	cc-1998-2261_2261_2261.md	verordnung	2025-12-01	in_force	0	23	28	1-11,13-15,17-18,20,23-28
ArG	822.11	cc-1966-57_57_57.md	bundesgesetz	2023-09-01	in_force	0	41	74	1-5,9,11-13,15,21,26-32,35-37,39-43,45,49-54,56,62,71-74
ArGV 1	822.111	cc-2000-243.md	verordnung	2024-09-01	in_force	0	73	94	1-2,4-46,60-64,67-75,77-84,88-92,94
